Gene Cluster
SLCO3A1	2
SNX21	1
SPP1	6
SYNE1	2
TBKBP1	1
TNS2	1
TRAF3IP3	1
TRIL	1
TRPM1	1
VSIG10	2
WASF3	1
WNT7A	2
ZCCHC24	1
ADAMTS14	3
ADAMTS17	11
ADORA2A	3
AK5	8
ANO7P1	11
ARF3	8
ARHGEF19	3
CACNG8	11
CECR6	11
CHRM1	8
CMYA5	3
CNP	8
COL11A2	3
COL9A3	8
CRHR2	11
CRYM	3
CYTH2	11
DIO3	3
DLX1	10
DPYSL3	8
DRD1	3
ELOVL1	3
EMID1	11
EMX1	3
EPB41L2	8
EXOC3L1	8
FABP3	8
FEZF2	3
FKBP1A	3
FLT4	11
FOXG1	3
GLRA4	10
GTDC1	11
ICAM5	3
KCNIP2	11
KCNJ4	3
KIF26A	11
KLHL35	8
LOC101539168	3
LOC101545436	11
LOC101546427	3
LOC101546830	10
LOC101546977	3
LOC101548366	11
LOC101548991	9
LOC101553367	3
LOC105943272	11
LRRC10	11
MATN2	3
MLIP	11
MMP17	3
MPZL1	3
MURC	3
MYADM	8
MYCL	3
MYCN	3
MYH6	8
MYL3	8
MYLK3	8
MYOZ2	11
NATD1	8
NPPA	3
NPY5R	10
OSMR	10
OVOL2	3
OXT	11
P2RY12	10
PDE2A	3
PDGFRA	11
PLEKHN1	11
PROKR2	3
PRSS23	11
PTX3	3
PVRL1	11
R3HDM4	3
RASAL1	11
RTN4RL2	3
SEMA3E	10
SFTPC	3
SIRT2	3
SLC16A2	10
SLIT1	11
SSTR1	10
TBC1D7	3
TBR1	3
TIAM2	3
TIE1	3
TMEM44	8
TREM2	8
TRIM54	3
TSPAN6	8
TTR	3
UGT8	8
VIPR1	3
WNT10B	11
YJEFN3	3
ZNF488	11
ABCA1	7
ALDH2	2
ALOX5AP	7
ARL9	2
ARMC3	7
CABP5	7
CASQ2	2
CCNA2	7
CIART	7
CIT	7
CSF1	2
CTC1	7
CUX2	7
DDO	1
DERA	2
FAM129A	7
FBN1	7
FIGNL2	2
FREM3	7
GABRE	7
GALNT12	7
GPD2	2
HACD4	6
HOPX	2
IFIH1	7
ITGA7	7
KCNS1	7
KLHL4	2
KNDC1	7
LOC101539163	7
LOC101540504	7
LOC101541112	7
LOC101542682	7
LOC101547225	7
LOC101548498	2
LOC101551380	7
LOC101553461	7
LOC101554098	2
LOC101557622	7
LOC105942952	7
LOC105943357	7
MAP7	2
MDM4	7
MYH3	7
NOTUM	2
NUDT7	12
PDZK1	7
PIK3CD	7
PPM1J	2
RAB31	2
RNF31	7
SEPSECS	7
SHPK	7
SLC16A3	7
SLC25A15	7
SLC25A37	7
SMPD1	2
SOAT1	7
SRSF5	7
SSFA2	2
STC2	7
TAB2	2
TAL2	7
THADA	7
TMEM86A	2
TMTC1	7
TOPAZ1	7
ZNF26	7
ZWILCH	7
A2ML1	3
AGTR1	8
ALDH9A1	8
AOC2	8
ARF5	3
ARHGEF15	11
ARHGEF2	3
ARPP21	8
ASPHD1	8
BDKRB1	5
BDKRB2	3
BTBD18	8
C1QTNF6	8
CASP9	8
CAV1	8
CD14	11
CDKN1A	5
CLDN11	8
CLDN5	8
CSF1R	11
CYTL1	8
DDR1	11
DYNLL1	3
EGR4	8
EHD2	8
FAM89A	8
FBLN5	8
GDPD5	8
GNB4	5
GPIHBP1	8
HAPLN1	5
HCFC1R1	8
HN1	11
HPCAL1	8
ING4	3
JOSD2	3
KCTD13	8
KNOP1	3
LIMS2	8
LOC101541842	8
LOC101545382	8
LOC101546999	8
LOC101547182	3
LOC101553867	8
LOC101557217	3
LY6E	8
MAL	8
MARCH1	11
MEF2C	3
MTHFD2L	8
NEUROD2	8
NKIRAS2	3
NRN1	8
NUDT8	3
OCLN	6
OLIG1	8
PECAM1	6
PIGA	8
PLAT	11
PLP1	8
POLE3	8
PRADC1	8
PRRT2	8
RASIP1	8
RNF215	8
SEPW1	8
SLC2A9	8
SNURF	8
SRD5A3	8
SRP19	8
SST	5
TBC1D1	8
TCEAL7	8
TNFRSF12A	8
TTC9B	8
UCK2	8
ZNF366	6
AGT	2
APCDD1	6
ARHGAP29	6
B3GALNT2	6
CA5B	6
CD44	6
CDC14B	6
CEP128	2
CHMP4C	6
CPNE3	6
CPVL	2
CTNNA1	6
E2F6	6
EDNRB	6
IFI44	6
ITPR3	6
LAYN	6
LEPR	6
LGR4	6
LOC101547343	6
LOC101550659	6
LOC101550772	4
LOC101552010	6
LOC101554385	6
MRAP2	6
NARS2	6
NOV	6
OGN	6
PITPNC1	6
SELE	6
SNTB1	6
SP1	2
SPARCL1	2
TAF1B	4
TES	7
TSPAN12	6
ACBD6	8
B3GAT1	8
BMP1	3
CARD10	8
CENPT	8
CLEC2L	8
DOT1L	3
HR	3
KLHDC9	3
LOC101539972	8
LOC101547076	8
MGST3	5
MMAB	11
MYO18B	3
MYOM2	8
NSMF	3
NT5C3B	8
NUDT1	3
OBSCN	3
PADI3	3
PERM1	8
RECQL5	3
SEMA5B	8
SH3BP1	8
SLC36A1	8
SPC24	8
SSH3	3
STMN4	8
TCEA3	8
TMEM125	8
TNFAIP6	3
ZNF469	3
MICALCL	4
LOC101544551	9
MPZ	9
MYL4	9
POPDC2	9
ADARB2	4
COL25A1	4
CPSF1	4
CSMD2	4
DDX39B	4
DIEXF	4
EBF3	4
EDN1	4
ETNPPL	7
FAM183A	4
FAM92B	4
FANCD2	4
GLB1	4
GNB3	4
GPR101	7
GPR68	4
GREB1	4
GRID2IP	7
IL17REL	4
INTS8	4
IRS4	4
ITPA	4
KCP	7
KIAA1644	4
LENG8	7
LOC101537961	4
LOC101547336	4
LRRC16B	4
LRRC7	4
MDGA1	4
MTRF1	4
PRDM12	4
PTPRO	4
RFT1	4
RSPH3	4
RTN4RL1	4
RXFP2	4
SAGE1	4
SCNN1D	4
SEMA3F	4
SEMA4A	4
SGSM2	4
SMPD4	4
TOX2	4
TP53I11	4
TSPEAR	4
TTC26	4
ZBTB7C	4
ZFHX4	4
ZMYM3	4
ZNF324	4
ZNF462	4
ACLY	5
ADO	5
ANKRD29	5
APOLD1	6
ARMCX6	5
ASAP2	5
ATF3	5
ATXN7L3	5
BCL2L1	5
BEST3	5
CCDC64B	5
CDH5	6
CHMP1B	5
CISH	9
CREG1	5
CSRNP1	5
CTDSPL	9
DACH1	5
DDIT4	5
DEDD2	5
DUSP1	5
EFHD2	5
EFR3A	9
EPHA3	9
FAM110B	5
FAM57B	5
FAM78B	5
FAM84A	5
FOS	5
FSTL1	5
GEM	5
GOLGA7	5
GPR3	5
HS3ST2	5
HS3ST4	5
IGF2BP2	5
ITGB5	5
KCNA1	9
KCNC4	5
KCNK10	5
KCNK12	5
KCNQ5	5
KLF4	6
KLF9	5
KLK9	5
LAMP5	5
LBX1	9
LIN7A	5
LOC101537356	5
LOC101538017	5
LOC101539557	9
LOC101553359	6
LUZP1	9
LXN	5
LZTS1	5
MAPK4	5
MAPRE2	5
MFAP4	5
MMRN2	6
MRPL52	5
NAB1	9
NFKBIA	9
NGF	5
NXPH4	5
PAFAH1B2	5
PAQR4	5
PARD6G	5
PCP4L1	5
PHLDA1	5
PIP4K2C	5
PLEKHF1	5
PNKD	5
PTRF	9
RNF144B	5
S100A10	9
SIPA1L2	5
SLC33A1	5
SOCS5	9
SPRY4	5
STARD10	9
SYN1	5
THSD1	9
TMTC4	5
TNFRSF21	5
TP53INP1	5
TPPP3	9
TSEN15	5
TSHZ1	5
TTC9	5
UBE2QL1	5
UCP2	5
VIPR2	9
ZFPM2	5
ZNF691	5
CCNB1	7
AVPI1	5
FKBP4	5
FLT1	6
POLR3B	6
HPN	1
ISOC2	8
KHK	5
ANXA3	6
AOX1	6
CLIC5	6
CYYR1	6
ITGA6	6
LOC101543444	6
NOS3	6
NOSTRIN	6
RERGL	6
SLC2A1	6
CIRBP	7
SZT2	7
