OG0005999 >XP_012791491.1
OG0006356 >XP_004621184.1
OG0006357 >XP_004620164.1
OG0006358 >XP_004622790.1
OG0006359 >XP_004608486.1
OG0006360 >XP_004603170.1
OG0006361 >XP_004620163.1
OG0006362 >XP_004612917.1
OG0006363 >XP_004605376.1
OG0006364 >XP_004621183.1
OG0006365 >XP_004608485.1
OG0006367 >XP_004610923.1
OG0006368 >XP_004608484.1
OG0006369 >XP_004621182.1
OG0006370 >XP_004612879.1
OG0006371 >XP_004612994.1
OG0006373 >XP_004613192.1
OG0006374 >XP_004600553.2
OG0006375 >XP_004621181.1
OG0006376 >XP_004620635.1
OG0006378 >XP_004608482.1
OG0006379 >XP_004612878.1
OG0006380 >XP_004615156.1
OG0006381 >XP_012789137.1
OG0006382 >XP_004604547.1
OG0006383 >XP_004621272.1
OG0006384 >XP_004620145.1
OG0006385 >XP_004605770.1
OG0006386 >XP_004600886.1
OG0006387 >XP_004601979.1
OG0006389 >XP_012790566.1
OG0006390 >XP_004600552.1
OG0006391 >XP_004617665.1
OG0006393 >XP_004618698.1
OG0006394 >XP_004615229.1
OG0006395 >XP_012787622.1
OG0006396 >XP_004601978.1
OG0006398 >XP_004603815.1
OG0006399 >XP_004600222.1
OG0006400 >XP_004603172.1
OG0006401 >XP_004601639.1
OG0006402 >XP_012788388.1
OG0006403 >XP_004604485.1
OG0006404 >XP_004603816.1
OG0006405 >XP_012790835.1
OG0006406 >XP_004621232.1
OG0006407 >XP_004618650.1
OG0006408 >XP_012791656.1
OG0006409 >XP_004615232.1
OG0006410 >XP_012791660.1
OG0006411 >XP_012790577.1
OG0006412 >XP_004608343.1
OG0006413 >XP_012790192.1
OG0006414 >XP_004620178.1
OG0006415 >XP_012789149.1
OG0006416 >XP_004604160.1
OG0006417 >XP_004608342.1
OG0006418 >XP_004605204.1
OG0006419 >XP_004612877.1
OG0006420 >XP_004608340.1
OG0006421 >XP_004603083.1
OG0006422 >XP_004602926.1
OG0006423 >XP_004615157.1
OG0006425 >XP_004616582.1
OG0006426 >XP_004612914.1
OG0006427 >XP_012788207.1
OG0006428 >XP_004615234.1
OG0006429 >XP_004610868.1
OG0006430 >XP_004603818.1
OG0006431 >XP_004620590.1
OG0006432 >XP_004620143.1
OG0006433 >XP_004620591.1
OG0006434 >XP_004603647.1
OG0006435 >XP_004621276.1
OG0006436 >XP_004610869.1
OG0006437 >XP_004617663.1
OG0006438 >XP_012789472.1
OG0006439 >XP_012787326.1
OG0006440 >XP_004620407.1
OG0006441 >XP_004614419.1
OG0006442 >XP_004613264.1
OG0006443 >XP_012789386.1
OG0006444 >XP_004620286.1
OG0006445 >XP_004604545.1
OG0006447 >XP_004620141.1
OG0006448 >XP_004609428.1
OG0006449 >XP_004605372.1
OG0006450 >XP_004608584.1
OG0006451 >XP_004609429.1
OG0006452 >XP_004621282.1
OG0006453 >XP_004622288.1
OG0006454 >XP_004613984.1
OG0006456 >XP_004621284.1
OG0006457 >XP_004600882.1
OG0006458 >XP_004613194.1
OG0006459 >XP_004621116.1
OG0006460 >XP_012788708.1
OG0006461 >XP_004621286.1
OG0006463 >XP_004611128.1
OG0006464 >XP_004615159.2
OG0006465 >XP_004616580.1
OG0006466 >XP_004611268.1
OG0006467 >XP_004621235.1
OG0006469 >XP_004620330.1
OG0006470 >XP_004619161.1
OG0006471 >XP_012787296.1
OG0006474 >XP_004604843.1
OG0006475 >XP_004603820.1
OG0006476 >XP_004604162.1
OG0006477 >XP_004605207.1
OG0006479 >XP_004611267.1
OG0006480 >XP_012790827.1
OG0006481 >XP_004617608.1
OG0006483 >XP_004615236.1
OG0006484 >XP_004608459.1
OG0006485 >XP_012790258.1
OG0006486 >XP_004606159.1
OG0006487 >XP_004604544.1
OG0006488 >XP_012790920.1
OG0006489 >XP_004615239.1
OG0006490 >XP_004620139.1
OG0006491 >XP_004620161.1
OG0006492 >XP_004620138.1
OG0006493 >XP_004608161.1
OG0006494 >XP_004609867.1
OG0006495 >XP_004606160.1
OG0006496 >XP_004610870.1
OG0006498 >XP_004620137.1
OG0006499 >XP_004620653.1
OG0006500 >XP_012789385.1
OG0006501 >XP_004612365.1
OG0006502 >XP_012790888.1
OG0006503 >XP_004619130.1
OG0006504 >XP_004620596.1
OG0006506 >XP_004602547.1
OG0006507 >XP_004621236.1
OG0006508 >XP_004605370.1
OG0006509 >XP_004608232.1
OG0006510 >XP_004602888.1
OG0006511 >XP_004608456.1
OG0006512 >XP_004615241.1
OG0006513 >XP_004621290.1
OG0006514 >XP_004617607.1
OG0006515 >XP_004621291.1
OG0006516 >XP_004600221.1
OG0006517 >XP_004615242.1
OG0006518 >XP_004612872.1
OG0006519 >XP_012788185.1
OG0006520 >XP_004617606.1
OG0006521 >XP_004615160.1
OG0006522 >XP_004621292.1
OG0006523 >XP_012787393.1
OG0006524 >XP_004608336.1
OG0006525 >XP_004619133.1
OG0006526 >XP_004614026.1
OG0006527 >XP_004603084.1
OG0006529 >XP_004620136.1
OG0006530 >XP_004605518.1
OG0006531 >XP_004610927.1
OG0006532 >XP_012790615.1
OG0006533 >XP_012790834.1
OG0006534 >XP_004620135.1
OG0006535 >XP_004619134.1
OG0006536 >XP_004603195.1
OG0006537 >XP_004617877.1
OG0006538 >XP_004609864.1
OG0006541 >XP_004608629.1
OG0006542 >XP_004603087.1
OG0006543 >XP_004605762.1
OG0006544 >XP_004611266.1
OG0006545 >XP_004612362.1
OG0006546 >XP_004620637.1
OG0006547 >XP_004613833.1
OG0006548 >XP_004608580.1
OG0006549 >XP_004609431.1
OG0006550 >XP_012789478.1
OG0006551 >XP_004615161.1
OG0006553 >XP_004602407.1
OG0006554 >XP_012790921.1
OG0006555 >XP_004605761.1
OG0006556 >XP_004605366.1
OG0006557 >XP_012790833.1
OG0006558 >XP_004600214.1
OG0006560 >XP_004620157.1
OG0006561 >XP_004602940.1
OG0006562 >XP_004617673.1
OG0006563 >XP_012790934.1
OG0006564 >XP_004614160.2
OG0006565 >XP_012789067.1
OG0006566 >XP_012791499.1
OG0006567 >XP_004620280.1
OG0006568 >XP_004609474.1
OG0006569 >XP_004619163.1
OG0006570 >XP_004619090.1
OG0006571 >XP_004619028.1
OG0006572 >XP_004617854.1
OG0006573 >XP_004608480.1
OG0006574 >XP_004605820.1
OG0006575 >XP_004608711.1
OG0006576 >XP_004600876.1
OG0006577 >XP_012790864.1
OG0006580 >XP_004619072.1
OG0006581 >XP_004600875.1
OG0006582 >XP_004621175.1
OG0006585 >XP_012791501.1
OG0006586 >XP_004603824.1
OG0006587 >XP_004611714.1
OG0006588 >XP_004602411.1
OG0006589 >XP_004619397.1
OG0006590 >XP_004619073.1
OG0006591 >XP_004619389.1
OG0006592 >XP_004605760.1
OG0006593 >XP_004603090.1
OG0006594 >XP_004614450.1
OG0006595 >XP_012787350.1
OG0006596 >XP_004616875.2
OG0006597 >XP_012790275.1
OG0006598 >XP_004605517.1
OG0006599 >XP_004609863.1
OG0006600 >XP_004611125.1
OG0006601 >XP_004600872.1
OG0006602 >XP_004605759.1
OG0006603 >XP_004603092.2
OG0006604 >XP_004612357.2
OG0006605 >XP_004614164.1
OG0006606 >XP_004619138.1
OG0006607 >XP_004621174.1
OG0006608 >XP_004608628.1
OG0006609 >XP_004617674.1
OG0006611 >XP_012790940.1
OG0006612 >XP_004616575.1
OG0006613 >XP_004608713.1
OG0006614 >XP_004619395.1
OG0006615 >XP_004602285.1
OG0006616 >XP_004614206.1
OG0006618 >XP_004619074.1
OG0006619 >XP_012787639.1
OG0006620 >XP_004614165.1
OG0006621 >XP_004620601.1
OG0006622 >XP_004608891.1
OG0006623 >XP_004620553.1
OG0006624 >XP_004620130.1
OG0006625 >XP_004613623.1
OG0006626 >XP_004616687.1
OG0006627 >XP_004603093.1
OG0006628 >XP_004615882.1
OG0006629 >XP_004616686.1
OG0006630 >XP_004603825.1
OG0006631 >XP_004617604.1
OG0006632 >XP_004605364.1
OG0006633 >XP_012789423.1
OG0006635 >XP_004616573.1
OG0006636 >XP_004602891.1
OG0006638 >XP_012790618.1
OG0006639 >XP_012787921.1
OG0006640 >XP_004615863.1
OG0006641 >XP_012789380.1
OG0006642 >XP_004614416.1
OG0006643 >XP_004608475.1
OG0006644 >XP_004615881.2
OG0006645 >XP_012789381.1
OG0006646 >XP_004600213.1
OG0006647 >XP_004608626.1
OG0006648 >XP_004600867.1
OG0006649 >XP_004611712.1
OG0006650 >XP_004602540.1
OG0006651 >XP_004605756.1
OG0006653 >XP_004608717.1
OG0006654 >XP_004608474.1
OG0006655 >XP_004613622.1
OG0006656 >XP_004615861.1
OG0006657 >XP_004600545.1
OG0006658 >XP_012788160.1
OG0006659 >XP_012790091.1
OG0006660 >XP_004610065.1
OG0006661 >XP_004603826.2
OG0006662 >XP_004613621.1
OG0006663 >XP_004620656.1
OG0006664 >XP_004602539.1
OG0006665 >XP_012788272.1
OG0006666 >XP_004614209.1
OG0006668 >XP_004620657.1
OG0006670 >XP_004616173.1
OG0006671 >XP_004602417.1
OG0006672 >XP_004613996.1
OG0006673 >XP_004614168.1
OG0006674 >XP_004608948.1
OG0006676 >XP_004602809.1
OG0006677 >XP_004613899.1
OG0006678 >XP_004613620.1
OG0006679 >XP_004621171.1
OG0006680 >XP_004620617.1
OG0006681 >XP_004600866.1
OG0006682 >XP_004611122.1
OG0006683 >XP_004616174.1
OG0006684 >XP_004608473.1
OG0006685 >XP_004611707.1
OG0006686 >XP_012789382.1
OG0006687 >XP_012788223.1
OG0006688 >XP_004617145.1
OG0006689 >XP_004603095.1
OG0006690 >XP_004610067.1
OG0006691 >XP_012790863.1
OG0006692 >XP_004620603.1
OG0006693 >XP_004613997.1
OG0006694 >XP_004612354.1
OG0006695 >XP_004613407.1
OG0006696 >XP_004605754.1
OG0006697 >XP_004603827.1
OG0006698 >XP_004621005.1
OG0006699 >XP_012791568.1
OG0006700 >XP_004613788.1
OG0006701 >XP_004602801.1
OG0006702 >XP_004620640.1
OG0006703 >XP_004616213.1
OG0006705 >XP_012789419.1
OG0006706 >XP_004602810.1
OG0006707 >XP_004617018.1
OG0006708 >XP_004602291.1
OG0006709 >XP_004613404.1
OG0006710 >XP_004608890.1
OG0006711 >XP_004621004.1
OG0006712 >XP_004614413.1
OG0006713 >XP_004608721.1
OG0006714 >XP_012791050.1
OG0006715 >XP_004605818.1
OG0006716 >XP_004611119.1
OG0006717 >XP_004603097.1
OG0006718 >XP_012790935.1
OG0006719 >XP_004605362.1
OG0006720 >XP_004617017.1
OG0006721 >XP_004616176.1
OG0006723 >XP_004620998.1
OG0006724 >XP_004613900.1
OG0006726 >XP_012789263.1
OG0006727 >XP_004622868.1
OG0006728 >XP_004602602.1
OG0006729 >XP_004602895.1
OG0006730 >XP_012790547.1
OG0006731 >XP_004602802.1
OG0006732 >XP_004610872.1
OG0006734 >XP_004600862.2
OG0006735 >XP_012789795.1
OG0006736 >XP_004612463.1
OG0006737 >XP_004620272.1
OG0006739 >XP_004611260.1
OG0006740 >XP_012788268.1
OG0006741 >XP_004621002.1
OG0006742 >XP_004602378.1
OG0006743 >XP_012787568.1
OG0006744 >XP_004615860.1
OG0006745 >XP_004613268.1
OG0006746 >XP_004610929.1
OG0006747 >XP_012789334.1
OG0006748 >XP_004617668.1
OG0006749 >XP_004613903.1
OG0006750 >XP_004611259.1
OG0006751 >XP_004620660.1
OG0006752 >XP_004621623.1
OG0006753 >XP_004617602.1
OG0006754 >XP_004621113.1
OG0006755 >XP_004614169.1
OG0006756 >XP_004619167.1
OG0006757 >XP_004608163.1
OG0006758 >XP_004616178.1
OG0006759 >XP_012790790.1
OG0006761 >XP_004608469.1
OG0006762 >XP_004600859.1
OG0006764 >XP_004602804.1
OG0006765 >XP_004605752.1
OG0006766 >XP_004620113.1
OG0006767 >XP_004602811.1
OG0006768 >XP_004614410.1
OG0006769 >XP_004620661.1
OG0006770 >XP_004619033.1
OG0006771 >XP_004620111.1
OG0006772 >XP_004614171.1
OG0006773 >XP_004619034.1
OG0006774 >XP_004608722.1
OG0006775 >XP_004608453.1
OG0006776 >XP_004602805.1
OG0006777 >XP_004620662.1
OG0006778 >XP_004620547.1
OG0006779 >XP_004621166.1
OG0006780 >XP_012790826.1
OG0006781 >XP_004602531.1
OG0006782 >XP_012789336.1
OG0006784 >XP_004621624.1
OG0006785 >XP_004617600.1
OG0006786 >XP_004608723.1
OG0006787 >XP_004606380.1
OG0006788 >XP_004608467.1
OG0006789 >XP_004616989.1
OG0006790 >XP_004602813.1
OG0006791 >XP_004608234.1
OG0006792 >XP_004614329.1
OG0006793 >XP_004617599.1
OG0006794 >XP_004621165.1
OG0006795 >XP_004602605.1
OG0006796 >XP_004616181.1
OG0006797 >XP_012791566.1
OG0006798 >XP_004603098.1
OG0006799 >XP_004609272.1
OG0006800 >XP_012790825.1
OG0006802 >XP_004620645.2
OG0006803 >XP_004613197.1
OG0006804 >XP_004614332.1
OG0006805 >XP_004614333.1
OG0006806 >XP_004614406.1
OG0006807 >XP_004617150.1
OG0006808 >XP_004611118.1
OG0006809 >XP_004603325.2
OG0006810 >XP_012788204.1
OG0006811 >XP_004608327.1
OG0006812 >XP_012789337.1
OG0006813 >XP_012788767.1
OG0006814 >XP_012790569.1
OG0006815 >XP_004608950.1
OG0006816 >XP_012788495.1
OG0006817 >XP_004617152.1
OG0006818 >XP_004615244.1
OG0006820 >XP_004602814.1
OG0006821 >XP_004614172.1
OG0006822 >XP_004619036.1
OG0006823 >XP_004612347.1
OG0006824 >XP_004602808.1
OG0006825 >XP_004605555.1
OG0006826 >XP_004614212.1
OG0006827 >XP_004608235.1
OG0006828 >XP_004611255.1
OG0006829 >XP_004620664.1
OG0006830 >XP_004614173.1
OG0006831 >XP_004613907.1
OG0006832 >XP_004617065.1
OG0006833 >XP_004615247.1
OG0006834 >XP_004621000.1
OG0006836 >XP_012788766.1
OG0006837 >XP_004608725.1
OG0006838 >XP_004610070.1
OG0006840 >XP_004620326.1
OG0006841 >XP_004606456.1
OG0006842 >XP_012787068.1
OG0006843 >XP_004621626.1
OG0006844 >XP_012790824.1
OG0006845 >XP_004616994.1
OG0006846 >XP_012790089.1
OG0006847 >XP_004616215.1
OG0006848 >XP_004621627.1
OG0006849 >XP_004600857.1
OG0006850 >XP_012787523.1
OG0006851 >XP_004621628.1
OG0006852 >XP_004614213.1
OG0006853 >XP_004613400.1
OG0006855 >XP_004620079.1
OG0006856 >XP_004610071.1
OG0006857 >XP_004603185.1
OG0006858 >XP_012789338.1
OG0006859 >XP_004614337.1
OG0006860 >XP_012790823.1
OG0006861 >XP_004608724.1
OG0006862 >XP_004610073.1
OG0006863 >XP_004621402.1
OG0006864 >XP_004603637.1
OG0006865 >XP_004613002.1
OG0006869 >XP_004614218.1
OG0006870 >XP_004615249.1
OG0006871 >XP_012788225.1
OG0006872 >XP_004602529.1
OG0006874 >XP_012787497.1
OG0006875 >XP_004603797.1
OG0006876 >XP_004617159.1
OG0006877 >XP_004621403.1
OG0006880 >XP_004600541.1
OG0006881 >XP_004617070.1
OG0006883 >XP_004602528.1
OG0006884 >XP_004620999.1
OG0006885 >XP_004621408.1
OG0006886 >XP_004613910.1
OG0006887 >XP_004621631.1
OG0006888 >XP_012789373.1
OG0006889 >XP_004619060.1
OG0006890 >XP_012790822.1
OG0006891 >XP_004613198.1
OG0006893 >XP_004613396.1
OG0006895 >XP_004602302.1
OG0006896 >XP_004601625.1
OG0006900 >XP_004609267.1
OG0006901 >XP_004613201.1
OG0006902 >XP_004615250.2
OG0006903 >XP_004602303.1
OG0006904 >XP_012789418.1
OG0006905 >XP_004611249.1
OG0006906 >XP_004608166.1
OG0006907 >XP_004617073.1
OG0006908 >XP_012791157.1
OG0006909 >XP_004621642.1
OG0006911 >XP_012791503.1
OG0006912 >XP_004611250.1
OG0006913 >XP_012791047.1
OG0006914 >XP_012788765.1
OG0006915 >XP_004616188.1
OG0006916 >XP_004621409.1
OG0006917 >XP_004601623.1
OG0006919 >XP_004621410.2
OG0006920 >XP_004621643.1
OG0006921 >XP_004611252.1
OG0006922 >XP_012789383.1
OG0006923 >XP_004612456.1
OG0006926 >XP_004602611.1
OG0006928 >XP_012789371.1
OG0006929 >XP_012791155.1
OG0006930 >XP_004610203.1
OG0006931 >XP_004600852.1
OG0006932 >XP_012789048.1
OG0006933 >XP_004619384.1
OG0006934 >XP_004620667.1
OG0006936 >XP_004617134.1
OG0006937 >XP_012789484.1
OG0006938 >XP_004609346.1
OG0006939 >XP_004621615.1
OG0006941 >XP_004613912.1
OG0006942 >XP_004617000.1
OG0006944 >XP_012790821.1
OG0006945 >XP_004608728.1
OG0006946 >XP_004616861.1
OG0006947 >XP_004621155.1
OG0006948 >XP_012787456.1
OG0006949 >XP_004603832.1
OG0006951 >XP_004608236.1
OG0006952 >XP_004615254.1
OG0006953 >XP_004621105.1
OG0006954 >XP_004608956.1
OG0006955 >XP_004613203.1
OG0006956 >XP_004608729.1
OG0006957 >XP_004613789.1
OG0006958 >XP_004603631.1
OG0006959 >XP_004617165.1
OG0006960 >XP_004616218.1
OG0006961 >XP_004618731.1
OG0006962 >XP_012787188.1
OG0006963 >XP_004601621.1
OG0006964 >XP_004615167.1
OG0006965 >XP_012788154.1
OG0006966 >XP_012791156.1
OG0006967 >XP_004613994.1
OG0006968 >XP_004613271.1
OG0006969 >XP_004608730.1
OG0006970 >XP_004602613.1
OG0006971 >XP_004600849.1
OG0006972 >XP_004620647.1
OG0006973 >XP_004620101.1
