sample_HFS308	sample_HFS309	sample_HFS310	sample_HFS311	sample_HFS312
ABHD1	0	0.670599	0	0	0.106005
ABHD10	12.0283	10.6136	12.0973	15.6529	13.472
ABHD11	27.35	27.5476	22.5718	24.3255	25.3425
ABHD12	340.978	313.747	333.806	365.33	309.642
ABHD12B	2.06693	0.416052	0	0.369214	0
ABHD13	7.94445	9.3635	9.61237	9.13386	7.72315
ABHD14B	23.5565	15.4333	35.4044	30.1077	28.411
ABHD15	0	0.485665	0.510926	0.550604	0.327911
ABHD16A	101.949	104.165	106.156	104.51	105.095
ABHD16B	0.430673	0.359839	0.664735	0.318146	0.283785
ABHD17A	159.227	188.888	148.504	133.502	144.525
ABHD17B	15.4396	18.9388	15.9398	18.3025	19.0292
ABHD17C	4.45475	7.04658	2.90845	3.07189	2.83597
ABHD2	98.7053	105.607	100.906	127.912	98.5585
ABHD3	178.59097	117.02761	177.87338	173.18484	153.69333
ABHD4	44.5271	35.3837	50.5104	49.7673	54.4042
ABHD5	3.35189	5.06246	4.59483	5.91268	3.92833
ABHD6	54.7818	55.8972	57.0783	84.0501	56.3958
ABHD8	292.781	318.423	282.549	242.193	280.846
ABI1	34.3984620641343	32.760339002017	36.7860888	35.263246	33.204894
ABI2	9.319709	10.979891	7.675521	7.483718	8.96237
ABI3	2.7873	1.831	1.12622	2.42615	3.14934
ABI3BP	3.59915	3.89723	5.31893	4.64321	5.417
ABL1	34.0613	39.0141	27.9782	31.5732	30.1213
ABL2	29.3958	34.6247	20.883	29.304	24.6194
ABLIM1	32.1726	31.308	31.9168	30.7189	30.6051
ABLIM2	114.632	123.921	93.847	101.303	112.153
ABLIM3	17.0434	23.763	17.4273	25.4319	25.8195
ABR	292.11	310.79121	290.2837	294.1409	326.4151
ABRA	2.08107	0.366007	0.78902	1.21374	3.75278
ABRACL	77.1751	71.2797	126.195	65.2733	86.13
ABTB1	34.065	44.6961	36.848	39.5704	32.3373
ABTB2	5.07426	3.56337	4.73786	5.7527	6.5547
ACAA1	85.279499	62.4521	82.2281	78.8145	68.0047
ACAA2	167.641	129.158	169.929	175.316	165.358
ACACA	33.42	33.02946	35.38309	41.8929	37.53095
ACACB	10.2561	8.57414	13.4334	16.4187	13.519
ACAD10	14.8029	12.7254	11.4041	13.2729	15.7017
ACAD11	2.19454	2.8582	2.66316	1.65129	0.8871
ACAD8	26.3642	29.7728	33.4426	28.2092	26.3849
ACAD9	60.1159	50.3716	55.0412	62.4027	58.5683
ACADL	45.0484	40.5448	64.4254	56.4188	57.6521
ACADM	72.5737	54.3776	77.8264	86.4581	75.3123
ACADS	35.6142	25.3994	38.7528	27.902	34.2342
ACADSB	111.812	111.633	138.887	137.715	111.394
ACADVL	256.277027	219.86941	227.77914	284.06345	249.88253
ACAN	5.55079	2.957	4.08863	4.91728	4.792
ACAP1	6.2981	4.19487	5.69955	5.54085	6.45279
ACAP2	4.89091	4.17866	3.63051	4.50789	4.09251
ACAP3	71.3927	85.1025	74.1788	68.767	73.5681
ACAT1	52.8819	53.4268	50.1061	56.5756	42.1584
ACAT2	141.339	134.79	128.819	144.056	162.018
ACBD3	22.0166	19.8311	20.2327	21.728	24.9775
ACBD4	25.4205	37.4536	38.2348	27.1062	33.8429
ACBD5	33.2977	36.743	44.5496	41.3409	38.6991
ACBD6	61.3476	75.2562	47.1749	39.6978	45.6174
ACBD7	1.03673	3.44838	4.3433	0.733197	1.33649
ACD	30.0094	32.8682	30.4982	33.3474	26.5838
ACE2	0	0	0	0	0
ACER1	0	0	0	0	0
ACER2	4.70049	4.74815	5.71746	6.44311	2.64744
ACER3	9.22926	9.92037	14.9654	13.6019	16.7892
ACHE	154.168	170.907	142.897	206.09	198.129
ACIN1	69.7717	91.4632	72.3533	91.0042	89.588
ACKR1	3.76182	5.84127	3.07393	3.93127	3.50205
ACKR2	0.104128	0	0.107125	0.0769137	0
ACKR3	7.45461	9.00239	4.95847	4.49109	5.8932
ACKR4	0.599482	0.200159	0.246919	0	0.631785
ACLY	38.3344	46.7916	41.7643	48.8597	47.8273
ACMSD	0.100494	0.252039	1.03364	1.26177	0.927273
ACO1	26.9232	24.4611	28.8571	29.4345	29.4331
ACO2	592.393	569.179	544.002	684.718	649.495
ACOT11	27.7391	21.1137	20.2613	20.9896	19.4549
ACOT12	0.0624484	0.314191	0.25636	0.645018	0.618123
ACOT13	568.183	455.832	457.889	669.137	503.175
ACOT6	11.7176	13.2783	10.4935	10.6764	8.28498
ACOT7	448.12	513.1269	418.6765	439.0047	440.166
ACOT8	28.8949	28.8901	30.3453	28.7659	32.0619
ACOT9	0	0.0756758	0.37191	0.202192	0
ACOX1	53.6432	47.757	59.7318	61.1385	52.7877
ACOX2	27.7781	20.4074	31.6588	25.6303	25.8522
ACOX3	16.2912	17.5736	15.8179	12.2413	18.6762
ACOXL	0.914941	0.535807	2.4455	1.4187	0.723831
ACP1	124.419	137.116	122.377	135.634	129.403
ACP2	52.7538	57.2402	52.6399	55.376	52.3193
ACP5	6.35664	3.31227	5.5945	5.38325	4.70801
ACP6	20.5391	17.8885	14.5306	15.5146	15.5271
ACPP	0	0.135246	0.414863	0.238459	0.159785
ACPT	0.845428	0	0.193164	0	0.309623
ACR	0.145787	0	0	0	0
ACRBP	0.358956	0.180464	0.0737183	0	0.189437
ACRC	0.706213	1.28343	0.603854	1.5195	1.63123
ACRV1	0	0	0	0	0
ACSBG1	186.713	147.304	191.024	181.856	181.846
ACSF2	12.8083	12.8006	19.803716	16.673848	12.989154
ACSF3	16.8867	15.9861	17.5443	14.7711	17.3264
ACSL1	20.469530352845	20.26681	21.738680002152	28.28351	25.00556
ACSL3	192.876	192.873	200.875	223.649	163.26
ACSL4	10.4046	15.326	17.2388	14.7069	13.9285
ACSL5	4.08441	2.50483	5.90801	6.60434	4.63169
ACSL6	292.30548	221.05181	301.3176	296.45608	280.236988
ACSM1	0.515862	0.270311	0.661855	1.8079	0.850957
ACSM3	0.759869	2.22996	0.779882	1.12125	0.835675
ACSM4	0.191886	0	0	0.0943827	0
ACSM5	0.575606	0.413063	1.18283	0.910509	0.921864
ACSM6	0	0	0	0.242172	0
ACSS1	14.1201	22.5855	13.4058	12.5743	15.3104
ACSS2	46.36	43.8853	49.1882	59.4472	50.9585
ACSS3	14.3767	9.05795	12.1091	14.4836	11.0026
ACTA1	49.4168	12.9228	10.6041	20.1293	84.3206
ACTA2	45.5078	16.6902	21.4152	9.61208	14.4266
ACTB	976.594	955.242	1116.63	1021.7	1157.96
ACTBL2	0	0	0	0	0
ACTC1	50.6702	32.3449	28.0069	57.4136	8.19943
ACTG1	857.936	837.423	833.943	882.026	1011.5
ACTG2	2.40629	0.533797	0.330788	0.591838	0
ACTL10	0.0625718	0.104936	0.128434	0.184656	0.330315
ACTL6A	11.3025	11.3565	9.92575	9.24431	12.3533
ACTL6B	41.0948	47.6083	34.9746	40.3871	49.7104
ACTL7A	0	0.076764	0	0	0
ACTL7B	0	0	0	0	0
ACTL8	0	0.288345	0.118491	0.0850466	0
ACTL9	0	0	0	0	0
ACTN1	13.13233	16.70655	11.84318	14.33401	13.39648
ACTN2	8.23736	7.39592	6.64799	6.8172	6.10423
ACTN3	0.270971	0.3015087428	0.204373244	0.2352282814	0.3686848731
ACTN4	55.0466	55.2526	52.066	57.3017	61.2289
ACTR10	48.2633	48.7271	43.8457	60.724	48.6942
ACTR1A	161.121	158.737	153.801	173.872	193.58
ACTR1B	193.131	213.68	200.6	215.129	213.415
ACTR2	63.48636	58.85512	65.51707	58.86287	60.53972
ACTR3	54.7083	60.263032	63.108395	54.8926	53.5085
ACTR5	13.2273	17.469	10.625	12.5839	14.9698
ACTR6	35.8892	37.8154	38.6559	38.1509	43.157
ACTR8	11.9299	13.1713	12.1785	15.44	14.6678
ACTRT2	0	0	0	0	0
ACTRT3	2.98832	2.12641	2.05032	2.78008	1.75015
ACVR1	7.38527	8.55552	8.48481	9.3946	8.81563
ACVR1B	41.0105	52.0402	38.4139	42.5698	43.0654
ACVR1C	0.082875	0.0735892	0.460485	0.183535	0.38859
ACVR2A	6.41003	8.51505	7.50568	9.6412	8.1963
ACVR2B	2.66919	4.90706	3.19808	1.75103	2.39648
ACVRL1	16.9739	10.2373	14.7988	12.3047	12.2908
ACY1	54.7871	90.1594	54.6057	75.6788	65.9323
ACYP1	174.835	173.78	155.318	147.85	195.368
ACYP2	293.175	212.073	247.154	283.89	256.043
ADA	1.13423	2.84405	2.6518	1.21857	2.37836
ADAD1	0	0	0	0.0470644	0
ADAD2	8.41746	4.20991	2.35144	5.60726	6.39384
ADAL	7.33778	10.43063	15.23167	12.0581	10.26336
ADAM10	19.953	21.5875	21.1647	23.7519	23.0051
ADAM11	91.9577	98.0914	80.4907	89.3384	101.656
ADAM12	3.22382	5.37737	3.12396	2.50748	4.78195
ADAM15	57.0644	68.2121	49.6134	49.0691	61.8441
ADAM17	7.46062	7.57688	7.24805	7.06849	6.81628
ADAM18	0	0	0	0	0
ADAM19	7.74865	11.7065	9.39143	9.2007	10.136
ADAM2	0.121309	0	0	0	0
ADAM22	7.184607	7.78058	8.836814	10.26371	8.66731
ADAM23	16.4594	25.1888	19.6281	17.9919	18.8358
ADAM28	0	0	0	0	0.0289167
ADAM29	0.0505801	0	0	0	0
ADAM32	0.152471	0	0	0	0.0670992
ADAM33	0.4609	0.193492	0.850619	0.203929	0.334723
ADAM7	0	0	0	0	0
ADAM8	0.613454	0.871586	0.435477	0.904789	0.685382
ADAM9	24.859	17.5265	23.0994	21.0934	24.7572
ADAMDEC1	0.0820165	0.206	0.168536	0.0605431	0.216349
ADAMTS1	3.39408	3.38785	2.86485	4.00394	3.24324
ADAMTS10	5.47469	7.24324	6.02265	6.19082	8.56792
ADAMTS12	0.314579	0.0882199	0.0858861	0.0618176	0.0969994
ADAMTS13	4.28793	6.0247	5.42802	4.43622	7.24892
ADAMTS14	0.1186	0.0249277	0.212602	0.0874191	0.313371
ADAMTS15	2.16483	5.79619	3.57203	2.48866	3.44094
ADAMTS16	0.065765	0	0	0.0484791	0.0868746
ADAMTS17	0.403814	0.707062	0.275824	0.14884	0.288935
ADAMTS18	1.47155	2.21287	1.42028	0.375445	1.36466
ADAMTS19	0.750526	0.412596	0.473081	0.659576	1.54455
ADAMTS2	15.5037	22.8251	25.5966	21.5471	23.4805
ADAMTS20	0.369462	0.39975	0.216108	0.350014	0.372031
ADAMTS3	0.482808	0.644747	0.407253	1.73743	1.14442
ADAMTS4	15.8518	5.50849	12.7675	12.199	15.0781
ADAMTS5	0.435391	0.56526	0.405676	0.70039	0.575024
ADAMTS6	0.969451	0.310344	0.796494	0.814848	1.20922
ADAMTS7	0.952407	1.01975	0.620539	0.909215	0.672188
ADAMTS8	0	0	0	0	0
ADAMTS9	0.548367	0.346118	0.561305	0.277786	0.385022
ADAMTSL1	1.54001	1.04907	1.23864	2.78287	2.20488
ADAMTSL2	11.3397	10.0538	10.7374	9.74926	13.3701
ADAMTSL3	5.02727	5.87642	4.95707	5.67836	6.42572
ADAMTSL4	8.55923	10.2854	10.136	8.90037	7.60948
ADAMTSL5	24.4518	22.0892	26.1949	21.2774	22.518
ADAP1	574.141	357.889	497.77	515.07	542.268
ADAP2	21.8405	28.8348	33.3653	18.6826	20.1722
ADAR	65.8575	63.6739	68.6737	75.6015	86.295
ADARB1	214.208	186.941	183.155	177.604	187.395
ADARB2	29.8664	38.4123	23.3873	24.4503	29.8949
ADAT1	3.2577	4.54519	3.0041	4.25478	3.36007
ADAT2	18.3196	15.2945	19.7249	26.2736	24.7378
ADAT3	2.77385	6.4682	1.72618	5.71931	5.44582
ADCK1	12.8798	15.2535	13.2996	18.2134	18.4171
ADCK2	45.8146	59.5393	46.4308	41.0597	46.9849
ADCK3	13.1973	10.8339	12.7261	15.1666	15.8877
ADCK4	41.08173	39.85835	43.88702	41.84077	37.53769
ADCK5	30.0774	29.8229	29.1128	27.7809	29.6514
ADCY1	33.8042	43.9184	30.3247	27.9716	29.4115
ADCY10	0.375872	0.177842	0.336772	0.398192	0.124168
ADCY2	76.5329	86.9323	80.9484	76.0771	79.6967
ADCY3	53.6391	72.365	50.0961	50.5891	52.8468
ADCY4	1.18587	0.646577	1.47758	1.32304	1.58773
ADCY5	49.795	41.5228	44.8995	50.5139	48.0557
ADCY6	24.8482	27.3988	20.8325	24.4272	24.5826
ADCY7	0.927589	0.806593	0.851985	1.65046	1.52115
ADCY8	8.9529	15.6664	11.5765	10.808016561	10.9102
ADCY9	22.7693	23.1018	18.5052	20.3174	17.2058
ADCYAP1	25.588	77.7607	55.3916	82.3777	60.6065
ADCYAP1R1	158.835	206.003	187.517	222.298	193.166
ADD1	125.38581107795	143.40002424	127.43252	153.5044	149.081150780883
ADD2	18.1989	26.315257	21.098226	22.069089	23.20909
ADD3	35.40516	27.33029	41.02938	37.46905	33.56783
ADGB	0.138386	0.0970054	0.118083	0	0.243817
ADGRA1	56.1442	86.4304	45.3891	33.8906	43.309
ADGRA2	13.2349	14.5606	16.5171	12.7491	12.4215
ADGRA3	7.69599	11.1103	8.81465	9.94176	10.332
ADGRB1	94.8919	130.617	93.0008	96.4299	100.306
ADGRB2	86.8001	110.7893	82.246	86.315	90.8598
ADGRB3	14.1593	18.73992	13.6845000008815	17.699131	16.15735
ADGRD1	0.684239	0.415189	1.12976	0.812748	0.652689
ADGRE1	0.190983	0.0320912	0.234873	0.0844834	0.126122
ADGRE5	7.45564	4.45027	5.52566	6.12711	5.60456
ADGRF1	0.0383818	0	0	0	0
ADGRF2	0.0508236	0.0426568	0.0521244	0.18742	0.0335496
ADGRF3	0.0352622	0.0296327	0	0	0.0698661
ADGRF4	0	0	0	0	0
ADGRF5	1.75649	0.823052	1.74737	1.55343	1.60803
ADGRG1	30.6846	34.1384	29.158	38.9432	27.3966
ADGRG2	0.240672	0.866846	0.105684	0.760374	0.204371
ADGRG3	9.9651	9.99507	9.06225	11.7727	10.0299
ADGRG4	0.0109242	0	0.0111779	0.0160956	0.0794239
ADGRG5	0.0724481	0.182106	0.223187	0.106931	0.0955833
ADGRG6	3.93337	2.49239	3.99963	5.042	4.02929
ADGRG7	0	0	0	0	0
ADGRL1	63.6969	82.0962	62.1636	73.9172	76.9452
ADGRL2	7.28116	11.01529	6.09929	7.20616	6.92535
ADGRL3	16.2618	22.0412	18.081	24.2437	21.3656
ADGRL4	0.576642	0.439928	0.645223	0.657297	0.761265
ADGRV1	0.318933	0.877617	0.402355	0.383703	0.600885
ADH1C	2.1906	2.47055	4.95956	7.92978	5.26832
ADH7	0.219821	0.183633	0	0.162396	0.43451
ADHFE1	15.6965	13.873	14.9549	22.6568	22.3847
ADI1	92.3515	106.32	171.754	87.0626	99.037
ADIG	0	0	0	1.22814	0
ADIPOQ	0	0	0	4.38976	0.130211
ADIPOR1	41.1879	45.5454	47.6674	44.738	42.7678
ADIPOR2	96.5575	59.2121	93.5657	103.875	85.6493
ADIRF	296.743	321.708	460.172	246.013	342.42
ADK	79.4475	81.9304	92.972	89.9057	86.3851
ADM	2.28079	3.32425	4.40665	2.948	2.15712
ADM2	5.88864	0	3.75245	2.64502	0.587569
ADNP	23.5465	30.2971	23.3407	24.2962	26.3765
ADNP2	3.79756	5.10323	3.52247	3.87915	3.57511
ADO	6.66034	9.60411	6.07954	6.98334	8.14043
ADORA1	120.834	150.343	142.731	86.1923	109.651
ADORA2A	3.46236	3.06032	3.25568	1.46118	2.02128
ADORA2B	3.47393	1.71717	1.98833	2.28247	1.69449
ADORA3	0	0	0	0	0
ADPGK	13.94	16.1033	15.1612	15.6712	15.2387
ADPRH	6.42244	3.8308	4.60429	4.74531	2.26662
ADPRHL1	1.27345	0.302496	0.375765	0.805164	0.239027
ADPRHL2	31.1895	28.5596	26.1408	23.6453	34.0658
ADPRM	9.77677	13.3609	17.6202	10.8379	15.0518
ADRA1A	1.91664	0.594843	1.23911	1.362	0.702446
ADRA1B	14.1763	29.0676	24.039	15.6246	20.2837
ADRA1D	7.51897	9.87563	9.02499	3.03785	5.16776
ADRA2A	8.96292	19.1111	8.49389	12.6445	12.2791
ADRA2B	1.45455	4.51172	1.93443	0.631664	2.0875
ADRB1	6.5943	9.60762	4.44454	3.72121	5.60709
ADRB2	2.60653	1.02298	1.339	1.62343	2.41728
ADRB3	0.724867	0.605014	0.124408	0.267835	0.0795734
ADRBK1	193.938485	220.076	187.885253	180.206	203.484926
ADRBK2	69.4626	72.8047	48.3538	69.5766	51.2689
ADRM1	85.7769	91.1434	74.4608	89.2146	90.6773
ADSL	22.1445	22.866	21.2356	19.5554	26.9895
ADSS	14.8129	16.1622	14.9051	21.8139	16.1595
ADTRP	0	0	0	0	0
AEBP1	1.67465	2.89248	3.89884	1.72816	2.17214
AEBP2	18.3001	18.6712	19.5769	17.6665	19.1456
AEN	12.467	7.99071	10.5897	8.09642	7.3046
AES	2069.82	2013.08	1963.38	1253.59	1489.51
AFAP1	7.93561	10.83275	11.76287	7.90813	9.37594
AFAP1L1	4.91337	5.539	5.64393	4.96514	5.70695
AFAP1L2	5.1124	4.14221	4.8282	3.25705	4.21751
AFF1	6.42246	6.07446	7.15748	6.11467	4.98877
AFF2	1.14043	2.69867	2.66189	2.34565	2.24267
AFF3	7.49793	6.17112	7.07996	6.85871	5.39244
AFF4	4.27026	5.22634	3.26975	3.55468	3.53283
AFG3L2	115.827	121.025	112.133	123.836	103.611
AFMID	6.43648	4.14429	3.25683	6.93682	6.18841
AFP	0.0605385	0	0	0	0
AFTPH	11.42219	13.06762	13.27197	14.57482	13.64399
AGA	37.9587	56.2772	55.5751	52.2493	52.3194
AGAP1	135.6907	163.4351	134.3161	134.3534	145.9645
AGAP2	161.7199	233.609	161.7969	157.1683	178.5272
AGAP3	204.378	235.668	185.089	179.034	194.796
AGBL1	0.0965425	0.0811498	0.0659376	0.0474437	0.106278
AGBL2	1.69136	3.63008	1.86612	1.51773	1.59147
AGBL3	0	0.0328819	0.240692	0.0577159	0.0258471
AGBL4	5.36091	6.29804	4.11003	5.72893	5.96297
AGBL5	21.0833	20.7855	26.9094	21.7626	23.2477
AGER	0.43067300691	1.51401	0.3323670391	2.6332888651	2.19933719641
AGFG1	22.419	42.9529	30.2074	26.7662	31.6153
AGFG2	27.3073	35.8764	28.6578	22.8516	25.6407
AGGF1	19.0687	19.6559	18.934	17.0853	14.0568
AGK	96.2849	94.2863	70.2152	94.1984	104.838
AGL	8.11896	8.1234	9.28804	10.4982	7.48158
AGMAT	17.9408	20.8032	13.6451	13.1712	32.4466
AGMO	7.37836	7.23088	8.54694	10.5444	11.9587
AGO1	8.37232	9.00922	8.95182	9.69095	8.50845
AGO2	4.41279	6.74531	5.51838	6.17318	5.09455
AGO4	4.27384	4.76164	4.93475	4.47308	4.77635
AGPAT1	112.2207	140.7982	134.9413	130.5417	134.3098
AGPAT2	6.22792	11.6728	10.1727	12.4399	7.2496
AGPAT3	339.357	374.461	361.378	345.73	366.814
AGPAT4	45.2723	38.7429	40.8704	49.7376	43.695
AGPAT5	288.173	265.964	317.529	271.59	284.553
AGPAT6	60.1499	80.6381	74.1239	85.3378	68.4925
AGPAT9	29.3162	17.4156	24.7251	33.4638	28.6143
AGPS	12.772	11.3861	14.1255	11.6641	10.3101
AGR2	0	0.150709	0	0	0
AGRN	36.2186	37.6619	30.7023	34.255	41.7995
AGRP	1.03313	375.643	0.534249	0	0.334648
AGT	1841.71	1497.86	1277.52	1990.99	1566.19
AGTPBP1	18.8328	15.9197	19.1171	18.2708	21.7632
AGTR1	0.231892	0.484061	0.119364	0	0.381903
AGTR2	0.0750817	0	0.154223	0.166239	0.0495248
AGTRAP	23.0328	41.9563	39.8901	41.934	40.9615
AGXT	0.517241	0.778163	1.38347	1.60461	1.43166
AGXT2	0	0.458266	0.963579	0.923161	0.360899
AHCTF1	5.62727	7.01278	5.98358	7.05364	6.62644
AHCY	63.6409	55.8106	64.6329	65.836	62.1207
AHCYL1	149.946	112.187	150.006	137.808	131.568
AHCYL2	25.8374	25.2417	24.3312	25.3697	26.7698
AHDC1	11.8359	22.8767	14.4433	16.9774	15.5502
AHI1	5.71329	5.85053	5.94597	3.44967	4.71736
AHNAK	11.8275	8.9067	15.3336	8.76582	9.3117
AHNAK2	6.10929	4.11363	4.68592	6.4132	6.67614
AHR	1.57017	1.91609	1.68573	1.46079	1.85168
AHRR	0.190701	0.0797457	0.392176	0	0.125708
AHSA1	124.447	161.799	121.302	159.465	133.309
AHSA2	76.3142	79.1958	91.2482	107.057	88.3201
AHSG	4.77659	3.6037	18.3923	21.4395	13.2745
AHSP	37.2013	37.4603	62.4677	112.948	86.0185
AICDA	0	0	0.280916	0	0
AIDA	20.4338	22.0154	23.0179	25.1844	23.5984
AIF1	6.93756	8.32179	11.195	7.27244	8.7255
AIF1L	276.719	156.342	247.814	207.98	243.398
AIFM1	35.84967	27.44958	27.23905	32.34055	28.97801
AIFM2	54.9259	64.862	58.4562	70.3185	64.894
AIFM3	198.0022	219.3803	298.277	199.5796	172.0592
AIG1	86.0223	72.0489	90.0569	102.591	87.0394
AIM1	1.60218	0.698997	0.344247	1.15147	0.75806
AIM1L	0.250118	0.421142	0.298822	0.215679	0.0964032
AIMP1	38.4982	49.2447	45.5202	51.3748	46.1073
AIMP2	20.1534	22.5436	17.4217	25.6832	21.9904
AIP	122.014	112.778	123.486	103.233	128.452
AIPL1	0	0.436223	0	0	0
AIRE	0.139472	0	0	0	0.0460066
AJAP1	29.34	29.1756	24.1738	25.2358	33.1585
AJUBA	4.65998	2.92924	3.16598	2.0227	2.80314
AK1	808.08	725.522	734.991	689.26	742.076
AK2	21.0164	28.862	23.402	33.0703	23.3433
AK3	30.6277	26.9156	28.4064	25.3571	23.0842
AK5	17.1445	28.4882	19.1008	21.1155	19.0286
AK6	52.2942	59.556	70.8044	72.7892	56.8875
AK7	1.47514	2.07866	1.35094	0.69944	5.39018
AK8	5.02211	2.55127	2.12022	3.44317	3.01548
AK9	0.036275	0.0152628	0.0928325	0.467761	0.107868
AKAP1	27.67	25.5125	22.5198	24.1758	24.4802
AKAP10	17.3877	16.088	13.3734	17.5593	15.9785
AKAP11	10.5093	12.2842	12.1583	11.4797	9.83152
AKAP12	14.4697	13.6673	13.5536	11.3804	14.4652
AKAP13	5.44762	6.79355	7.61554	5.27148	4.49113
AKAP17A	2.1369	2.2522	2.54844	2.69266	3.20713
AKAP3	0	0	0	0	0
AKAP4	0	0	0	0	0
AKAP5	0.280976	2.50692	1.8296	2.42059	1.23484
AKAP6	6.67679	7.64889	5.77408	7.98984	8.31927
AKAP7	90.9902	77.685	102.1925	73.1886	69.6111
AKAP8	11.0978	13.1973	12.7856	10.6293	14.8939
AKAP8L	57.486935	77.80251	54.91275	62.55092	68.4952
AKAP9	9.17086	13.4094	9.94225	11.8749	11.0963
AKIP1	22.8692	19.0014	33.0521	25.5574	28.1553
AKIRIN1	45.5734	51.097	47.8879	46.1509	44.5351
AKIRIN2	67.9374	86.4744	82.9555	74.655	72.7411
AKNA	3.27758	3.44597	4.51614	2.25564	3.13667
AKNAD1	0	0	0	0	0
AKR1A1	24.2121	26.8193	37.576	34.6478	26.5296
AKR1B1	122.872	106.389	115.284	173.51	129.516
AKR1B10	11.4204	6.30539	16.4489	15.9585	14.6724
AKR1D1	0	0.219908	0.815273	1.75443	1.56283
AKR1E2	35.7483	24.1328	24.7178	31.9543	15.4918
AKR7A2	21.9467	22.8878	18.3563	14.3164	21.8308
AKT1	188.821	210.87	193.78	176.05	182.741
AKT1S1	32.0641	38.8231	33.0919	22.1792	25.3713
AKT2	61.714299	74.706638	90.959197	66.871766	69.160946
AKT3	17.775604	14.19337	24.47159	15.428452	13.23825
AKTIP	78.0415	77.8527	82.232	81.7389	91.1083
